node1	node2	MISIM_similarity_value
hsa-mir-140	hsa-mir-615	0
hsa-mir-140	hsa-mir-654	0
hsa-mir-140	hsa-mir-200c	0.0959
hsa-mir-140	hsa-mir-148b	0.3633
hsa-mir-140	hsa-mir-30a	0.3929
hsa-mir-140	hsa-mir-324	0
hsa-mir-140	hsa-mir-598	0.4
hsa-mir-140	hsa-mir-100	0.2611
hsa-mir-140	hsa-mir-375	0.3021
hsa-mir-140	hsa-mir-338	0.1268
hsa-mir-140	hsa-mir-15b	0.2118
hsa-mir-140	hsa-mir-30e	0.311
hsa-mir-140	hsa-mir-339	0.0663
hsa-mir-140	hsa-mir-32	0.2293
hsa-mir-140	hsa-mir-424	0.0174
hsa-mir-140	hsa-mir-134	0.04
hsa-mir-140	hsa-mir-200a	0.1121
hsa-mir-140	hsa-mir-18b	0.1913
hsa-mir-140	hsa-mir-328	0.075
hsa-mir-140	hsa-mir-95	0.5263
hsa-mir-140	hsa-mir-532	0.0201
hsa-mir-140	hsa-mir-214	0.335
hsa-mir-140	hsa-mir-210	0.3437
hsa-mir-140	hsa-mir-205	0.328
hsa-mir-140	hsa-mir-144	0.3863
hsa-mir-140	hsa-mir-484	0.3056
hsa-mir-140	hsa-mir-376c	0.3056
hsa-mir-140	hsa-mir-99a	0.0342
hsa-mir-140	hsa-mir-130a	0.2962
hsa-mir-140	hsa-mir-27a	0.3654
hsa-mir-140	hsa-mir-27b	0.3478
hsa-mir-140	hsa-mir-454	0.0419
hsa-mir-140	hsa-mir-362	0.4
hsa-mir-140	hsa-mir-182	0.0257
hsa-mir-140	hsa-mir-98	0.1131
hsa-mir-140	hsa-mir-92b	0.1316
hsa-mir-140	hsa-mir-432	0.5714
hsa-mir-140	hsa-mir-411	0
hsa-mir-140	hsa-mir-335	0.2888
hsa-mir-140	hsa-mir-29c	0.4936
hsa-mir-140	hsa-mir-30d	0.2554
hsa-mir-140	hsa-mir-187	0.0112
hsa-mir-140	hsa-mir-301a	0.3525
hsa-mir-140	hsa-mir-199b	0.3838
hsa-mir-140	hsa-mir-126	0.2843
hsa-mir-140	hsa-mir-191	0.2837
hsa-mir-149	hsa-mir-34c	0.3652
hsa-mir-149	hsa-mir-22	0.0855
hsa-mir-149	hsa-mir-379	0
hsa-mir-149	hsa-mir-382	0.0457
hsa-mir-149	hsa-mir-193b	0.1886
hsa-mir-149	hsa-mir-188	0.1724
hsa-mir-149	hsa-mir-31	0.1075
hsa-mir-149	hsa-mir-33a	0.1765
hsa-mir-149	hsa-mir-96	0.0366
hsa-mir-149	hsa-mir-30b	0.3009
hsa-mir-149	hsa-mir-181d	0.1631
hsa-mir-149	hsa-mir-141	0.3062
hsa-mir-149	hsa-mir-342	0.0194
hsa-mir-149	hsa-mir-127	0.3414
hsa-mir-149	hsa-mir-20a	0.1827
hsa-mir-149	hsa-mir-376b	0.1414
hsa-mir-149	hsa-mir-331	0
hsa-mir-149	hsa-mir-224	0.12
hsa-mir-149	hsa-mir-26b	0.0321
hsa-mir-149	hsa-mir-18a	0.2244
hsa-mir-149	hsa-mir-629	0.0882
hsa-mir-149	hsa-mir-363	0.0817
hsa-mir-149	hsa-mir-455	0.3429
hsa-mir-149	hsa-mir-495	0.1149
hsa-mir-149	hsa-let-7d	0.2862
hsa-mir-149	hsa-mir-660	0.1143
hsa-mir-149	hsa-mir-200b	0.2578
hsa-mir-149	hsa-mir-197	0.1471
hsa-mir-149	hsa-mir-491	0.2068
hsa-mir-149	hsa-mir-29a	0.2249
hsa-mir-149	hsa-let-7g	0.1842
hsa-mir-149	hsa-mir-139	0.1215
hsa-mir-149	hsa-mir-203	0.147
hsa-mir-149	hsa-mir-190	0.1875
hsa-mir-149	hsa-mir-652	0
hsa-mir-149	hsa-mir-421	0.1724
hsa-mir-149	hsa-mir-221	0.181
hsa-mir-149	hsa-mir-132	0.2722
hsa-mir-149	hsa-mir-99b	0.105
hsa-mir-149	hsa-mir-19a	0.2154
hsa-mir-149	hsa-mir-155	0.1711
hsa-mir-149	hsa-mir-25	0.3877
hsa-mir-149	hsa-mir-451	0.3341
hsa-mir-149	hsa-mir-145	0.2489
hsa-mir-149	hsa-mir-142	0.1335
hsa-mir-149	hsa-mir-486	0.0882
hsa-mir-149	hsa-mir-146a	0.1669
hsa-mir-149	hsa-mir-539	0
hsa-mir-149	hsa-mir-93	0.3643
hsa-mir-149	hsa-mir-20b	0.3673
hsa-mir-149	hsa-let-7i	0.1825
hsa-mir-149	hsa-mir-151	0.3831
hsa-mir-149	hsa-mir-431	0
hsa-mir-149	hsa-mir-181c	0.1405
hsa-mir-149	hsa-mir-429	0.3479
hsa-mir-149	hsa-mir-381	0
hsa-mir-149	hsa-mir-10a	0.443
hsa-mir-149	hsa-mir-34b	0.3529
hsa-mir-149	hsa-mir-136	0
hsa-mir-149	hsa-let-7b	0.1676
hsa-mir-149	hsa-mir-222	0.1947
hsa-mir-149	hsa-mir-21	0.1551
hsa-mir-149	hsa-mir-377	0
hsa-mir-149	hsa-mir-10b	0.4795
hsa-mir-149	hsa-mir-23a	0.0441
hsa-mir-149	hsa-mir-23b	0.0888
hsa-mir-149	hsa-mir-33b	0.1765
hsa-mir-149	hsa-mir-769	0.0882
hsa-mir-149	hsa-mir-154	0.1033
hsa-mir-149	hsa-mir-204	0.5171
hsa-mir-149	hsa-mir-106b	0.2395
hsa-mir-149	hsa-mir-150	0.0737
hsa-mir-149	hsa-mir-337	0.1149
hsa-mir-149	hsa-mir-487b	0
hsa-mir-149	hsa-mir-215	0.3967
hsa-mir-149	hsa-mir-212	0.0588
hsa-mir-149	hsa-mir-452	0.0696
hsa-mir-149	hsa-mir-15a	0.1844
hsa-mir-149	hsa-mir-659	0
hsa-mir-149	hsa-mir-497	0.0862
hsa-mir-149	hsa-mir-423	0.0588
hsa-mir-149	hsa-mir-143	0.2191
hsa-mir-149	hsa-mir-323	0.1533
hsa-mir-149	hsa-mir-152	0
hsa-mir-149	hsa-mir-330	0
hsa-mir-149	hsa-let-7e	0.1638
hsa-mir-149	hsa-mir-223	0.1062
hsa-mir-149	hsa-mir-34a	0.2473
hsa-mir-149	hsa-let-7c	0.168
hsa-mir-149	hsa-mir-17	0.1767
hsa-mir-149	hsa-mir-146b	0.2796
hsa-mir-149	hsa-mir-501	0
hsa-mir-149	hsa-mir-296	0.3312
hsa-mir-149	hsa-mir-186	0.125
hsa-mir-149	hsa-mir-370	0.0685
hsa-mir-149	hsa-mir-125a	0.2665
hsa-mir-149	hsa-mir-28	0.0566
hsa-mir-149	hsa-mir-183	0.1123
hsa-mir-149	hsa-mir-196b	0.134
hsa-mir-149	hsa-mir-195	0.0714
hsa-mir-149	hsa-mir-107	0.0871
hsa-mir-149	hsa-mir-192	0.1288
hsa-mir-149	hsa-mir-301b	0.1621
hsa-mir-149	hsa-mir-409	0.1724
hsa-mir-149	hsa-mir-185	0.0882
hsa-mir-149	hsa-mir-378	0.1148
hsa-mir-149	hsa-mir-542	0.0484
hsa-mir-149	hsa-mir-130b	0.1935
hsa-mir-149	hsa-mir-135b	0.3699
hsa-mir-149	hsa-mir-106a	0.1268
hsa-mir-149	hsa-mir-148a	0.081
hsa-mir-149	hsa-mir-340	0.1149
hsa-mir-149	hsa-mir-615	0.0882
hsa-mir-149	hsa-mir-654	0.0882
hsa-mir-149	hsa-mir-200c	0.3091
hsa-mir-149	hsa-mir-148b	0.0862
hsa-mir-149	hsa-mir-30a	0.0728
hsa-mir-149	hsa-mir-324	0.0882
hsa-mir-149	hsa-mir-598	0
hsa-mir-149	hsa-mir-100	0.1042
hsa-mir-149	hsa-mir-375	0.1215
hsa-mir-149	hsa-mir-338	0.4461
hsa-mir-149	hsa-mir-15b	0.106
hsa-mir-149	hsa-mir-30e	0.155
hsa-mir-149	hsa-mir-339	0.3003
hsa-mir-149	hsa-mir-32	0.124
hsa-mir-149	hsa-mir-424	0.0566
hsa-mir-149	hsa-mir-134	0.0588
hsa-mir-149	hsa-mir-200a	0.2999
hsa-mir-149	hsa-mir-18b	0.2422
hsa-mir-149	hsa-mir-328	0
hsa-mir-149	hsa-mir-95	0.124
hsa-mir-149	hsa-mir-532	0.0682
hsa-mir-149	hsa-mir-214	0.2667
hsa-mir-149	hsa-mir-210	0.2614
hsa-mir-149	hsa-mir-205	0.3417
hsa-mir-149	hsa-mir-144	0.1879
hsa-mir-149	hsa-mir-484	0.0927
hsa-mir-149	hsa-mir-376c	0.0707
hsa-mir-149	hsa-mir-99a	0.1032
hsa-mir-149	hsa-mir-130a	0.1158
hsa-mir-149	hsa-mir-27a	0.1724
hsa-mir-149	hsa-mir-27b	0.1368
hsa-mir-149	hsa-mir-454	0.1143
hsa-mir-149	hsa-mir-362	0
hsa-mir-149	hsa-mir-182	0.0672
hsa-mir-149	hsa-mir-98	0.162
hsa-mir-149	hsa-mir-92b	0.1766
hsa-mir-149	hsa-mir-432	0
hsa-mir-149	hsa-mir-411	0
hsa-mir-149	hsa-mir-335	0.1028
hsa-mir-149	hsa-mir-29c	0.1243
hsa-mir-149	hsa-mir-30d	0.3155
hsa-mir-149	hsa-mir-187	0.0573
hsa-mir-149	hsa-mir-301a	0.1621
hsa-mir-149	hsa-mir-199b	0.0858
hsa-mir-149	hsa-mir-126	0.1139
hsa-mir-149	hsa-mir-191	0.2203
hsa-mir-34c	hsa-mir-22	0.1519
hsa-mir-34c	hsa-mir-379	0
hsa-mir-34c	hsa-mir-382	0.2219
hsa-mir-34c	hsa-mir-193b	0.2303
hsa-mir-34c	hsa-mir-188	0.1186
hsa-mir-34c	hsa-mir-31	0.2925
hsa-mir-34c	hsa-mir-33a	0.3274
hsa-mir-34c	hsa-mir-96	0.0926
hsa-mir-34c	hsa-mir-30b	0.3993
hsa-mir-34c	hsa-mir-181d	0.4191
hsa-mir-34c	hsa-mir-141	0.6176
hsa-mir-34c	hsa-mir-342	0.0578
hsa-mir-34c	hsa-mir-127	0.5989
hsa-mir-34c	hsa-mir-20a	0.5882
hsa-mir-34c	hsa-mir-376b	0.0985
hsa-mir-34c	hsa-mir-331	0
hsa-mir-34c	hsa-mir-224	0.4175
hsa-mir-34c	hsa-mir-26b	0.0858
hsa-mir-34c	hsa-mir-18a	0.5414
hsa-mir-34c	hsa-mir-629	0.0221
hsa-mir-34c	hsa-mir-363	0.1208
hsa-mir-34c	hsa-mir-455	0.2427
hsa-mir-34c	hsa-mir-495	0.1054
hsa-mir-34c	hsa-let-7d	0.5039
hsa-mir-34c	hsa-mir-660	0.229
hsa-mir-34c	hsa-mir-200b	0.4831
hsa-mir-34c	hsa-mir-197	0.3008
hsa-mir-34c	hsa-mir-491	0.2722
hsa-mir-34c	hsa-mir-29a	0.4605
hsa-mir-34c	hsa-let-7g	0.4548
hsa-mir-34c	hsa-mir-139	0.2857
hsa-mir-34c	hsa-mir-203	0.3327
